時刻,パークエントランス,ヴェネツィアン・ゴンドラ,ソアリン:&thinsp;ファンタスティック・フライト,ディズニーシー・トランジットスチーマーライン,フォートレス・エクスプロージョン,タートル・トーク,タワー・オブ・テラー,ディズニーシー・エレクトリックレールウェイ,ディズニーシー・トランジットスチーマーライン,トイ・ストーリー・マニア！,ビッグシティ・ヴィークル,アクアトピア,ディズニーシー・エレクトリックレールウェイ,ニモ＆フレンズ・シーライダー,インディー・ジョーンズ・アドベンチャー:&thinsp;クリスタルスカルの魔宮,ディズニーシー・トランジットスチーマーライン,レイジング・スピリッツ,キャラバンカルーセル,ジャスミンのフライングカーペット,シンドバッド・ストリーブック・ヴォヤッジ,マジックランプシアター,アリエルのプレイグラウンド,ジャンピン・ジェリーフィッシュ,スカットルのスクーター,フランダーのフライングフィッシュコースター,ブローフィッシュ・バルーンレース,マーメイドラグーンシアター,ワールプール,海底2万マイル,センター・オブ・ジ・アース
450,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
480,0,5,135,1295,1290,20,35,10,1295,115,10,10,10,15,5,1295,5,5,5,5,15,10,10,1290,1290,10,5,10,10,15
510,0,20,225,1295,1290,20,155,20,1295,225,20,25,20,65,135,1295,135,5,10,10,20,20,20,1290,1290,20,20,20,30,135
540,0,45,235,1295,1290,80,165,20,15,245,20,50,20,105,175,1295,175,5,15,10,20,20,20,1290,1290,20,20,25,50,155
570,0,55,225,10,1290,80,165,25,15,245,25,60,25,125,155,10,155,10,30,10,30,30,30,1290,1290,30,50,40,55,165
600,0,55,215,10,1290,80,155,25,15,245,25,60,25,105,135,10,135,10,40,20,40,35,35,1290,1290,35,50,45,65,145
630,0,45,225,15,1290,65,155,25,15,245,25,50,25,85,95,10,95,10,40,20,50,35,35,1290,1290,35,50,40,70,145
660,0,35,245,15,1290,50,155,25,15,235,25,45,25,85,125,10,125,15,35,15,50,35,35,1290,25,35,50,45,70,145
690,0,20,235,15,1290,60,155,25,15,205,25,40,25,85,135,10,135,10,35,20,45,20,20,20,55,20,80,40,90,145
720,0,35,215,15,10,60,155,20,15,165,20,40,20,75,125,10,125,10,35,15,80,25,25,35,55,25,60,45,70,145
750,0,45,215,15,10,50,145,15,15,145,15,35,15,75,145,25,145,20,35,20,70,40,40,40,50,40,50,50,65,135
780,0,40,215,15,10,50,145,25,15,155,25,30,25,75,145,30,145,20,35,25,70,30,30,40,50,30,50,50,75,125
810,0,40,215,15,10,50,165,15,15,155,15,30,15,75,145,30,145,10,30,20,45,40,40,40,60,40,50,35,65,115
840,0,50,215,15,10,50,165,15,15,195,15,30,15,65,135,25,135,10,30,15,60,20,20,40,55,20,79,40,55,125
870,0,50,215,15,15,60,185,25,20,205,25,35,25,60,145,25,145,10,35,25,55,25,25,40,45,25,50,45,45,145
900,0,50,215,15,20,65,185,20,1295,205,20,30,20,85,155,25,155,20,35,15,50,30,30,45,45,30,50,40,45,145
930,0,1295,215,15,10,50,185,30,1295,185,30,35,30,85,155,1295,155,20,30,15,60,30,30,45,55,30,50,40,70,175
960,0,1295,225,1295,1290,60,155,25,1295,185,25,35,25,85,145,1295,145,10,25,15,55,25,25,35,55,25,50,45,55,175
990,0,1295,215,1295,1290,60,165,25,1295,185,25,35,25,85,145,1295,145,10,30,15,65,25,25,35,50,25,50,45,40,165
1020,0,40,195,10,1290,50,175,25,15,185,25,25,25,65,135,10,135,10,25,15,60,30,30,35,50,30,50,35,50,155
1050,0,40,195,10,1290,60,205,25,15,185,25,25,25,65,125,10,125,10,30,10,60,30,30,35,45,30,50,35,65,135
1080,0,1295,195,1295,1290,60,205,35,1295,145,35,25,35,75,125,1295,125,10,30,10,60,25,25,35,40,25,50,35,65,135
1110,0,1295,195,1295,1290,45,205,30,25,145,30,25,30,65,125,25,125,10,30,10,60,20,20,35,40,20,50,30,65,125
1140,0,1295,185,1295,1290,50,185,15,25,155,15,20,15,45,105,25,105,10,20,10,35,20,20,35,40,20,50,30,35,125
1170,0,1295,155,1295,1290,35,175,20,25,155,20,20,20,40,95,25,95,10,15,10,20,15,15,20,35,15,20,25,20,125
1200,0,1295,1295,1295,1290,20,125,15,1295,145,15,10,15,40,75,1295,75,10,15,10,20,10,10,20,35,10,20,15,10,105
1230,0,1295,1295,1295,1290,30,1295,20,1295,1295,20,10,20,30,55,1295,55,10,10,10,20,10,10,20,30,10,1290,15,15,85
1260,0,45,1295,10,1290,30,1295,15,1295,1295,15,10,15,30,555,10,555,10,10,10,20,10,10,20,25,10,1290,20,15,1295
1290,0,30,1295,1295,1290,20,1295,15,1295,1295,15,10,15,20,1295,10,1295,10,10,10,20,10,10,10,20,10,1290,10,10,1295
